numero de vuelo,origen,destino,duracion(en horas),hora de salida,hora de llegada,código de avión,precio
AV0615,Guayaquil,Río de Janeiro,12,02:00,06:00,Airbus A319,520.00
AV3964,Guayaquil,Río de Janeiro,14,04:30,08:30,Boeing 787,580.50
AV2488,Guayaquil,Río de Janeiro,16,07:00,11:00,Airbus A320,640.25
AV1415,Guayaquil,Río de Janeiro,18,09:30,13:30,Boeing 777,700.80
AV5662,Guayaquil,Río de Janeiro,20,12:00,16:00,Airbus A350,760.00
AV9731,Quito,Río de Janeiro,14,01:00,05:00,Airbus A320,550.00
AV3673,Quito,Río de Janeiro,16,03:30,07:30,Boeing 737,610.20
AV5501,Quito,Río de Janeiro,18,06:00,10:00,Airbus A321,670.90
AV8903,Quito,Río de Janeiro,20,08:30,12:30,Boeing 787,730.75
AV0770,Quito,Río de Janeiro,22,11:00,15:00,Airbus A330,790.60
AV9570,Cuenca,Río de Janeiro,16,02:00,06:00,Boeing 777,680.50
AV3318,Cuenca,Río de Janeiro,18,04:30,08:30,Airbus A330,740.75
AV0059,Cuenca,Río de Janeiro,20,07:00,11:00,Boeing 787,800.80
AV5415,Cuenca,Río de Janeiro,22,09:30,13:30,Airbus A350,860.00
AV3231,Cuenca,Río de Janeiro,24,12:00,16:00,Boeing 737,920.20
AV3494,Guayaquil,Toronto,15,00:30,06:30,Airbus A319,680.40
AV1530,Guayaquil,Toronto,17,03:00,09:00,Airbus A320,720.50
AV8202,Guayaquil,Toronto,19,05:30,11:30,Boeing 787,760.75
AV4703,Guayaquil,Toronto,21,08:00,14:00,Boeing 777,810.90
AV4954,Guayaquil,Toronto,23,10:30,16:30,Airbus A330,860.60
AV3252,Quito,Toronto,18,01:00,07:00,Boeing 787,720.90
AV6847,Quito,Toronto,20,03:30,09:30,Airbus A321,760.75
AV8378,Quito,Toronto,22,06:00,12:00,Boeing 737,810.80
AV2829,Quito,Toronto,24,08:30,14:30,Airbus A330,860.00
AV8305,Quito,Toronto,19,11:00,17:00,Boeing 777,910.50
AV0173,Cuenca,Toronto,17,02:30,08:30,Airbus A320,670.20
AV0915,Cuenca,Toronto,19,05:00,11:00,Boeing 737,720.60
AV3802,Cuenca,Toronto,21,07:30,13:30,Boeing 787,770.40
AV0827,Cuenca,Toronto,23,10:00,16:00,Airbus A330,820.20
AV1849,Cuenca,Toronto,25,12:30,18:30,Boeing 777,870.30
AV7042,Guayaquil,Cali,2,06:00,08:00,Airbus A319,130.40
AV5834,Guayaquil,Cali,3,08:00,11:00,Airbus A320,160.50
AV3939,Guayaquil,Cali,4,10:00,14:00,Boeing 787,190.75
AV7340,Guayaquil,Cali,5,12:00,17:00,Boeing 777,220.90
AV2815,Guayaquil,Cali,6,14:00,20:00,Airbus A330,250.60
AV1382,Quito,Cali,3,07:00,10:00,Boeing 787,160.90
AV2314,Quito,Cali,4,09:00,13:00,Airbus A321,190.75
AV2517,Quito,Cali,5,11:00,16:00,Boeing 737,220.80
AV1299,Quito,Cali,6,13:00,19:00,Airbus A330,250.00
AV2347,Quito,Cali,7,15:00,22:00,Boeing 777,280.50
AV9347,Cuenca,Cali,4,08:00,12:00,Airbus A320,190.20
AV0188,Cuenca,Cali,5,10:00,15:00,Boeing 737,220.60
AV9422,Cuenca,Cali,6,12:00,18:00,Boeing 787,250.40
AV8462,Cuenca,Cali,7,14:00,21:00,Airbus A330,280.20
AV5651,Cuenca,Cali,8,16:00,23:00,Boeing 777,310.30
AV1624,Guayaquil,México,3,04:00,07:00,Airbus A319,180.40
AV1137,Guayaquil,México,4,06:00,10:00,Airbus A320,210.50
AV6366,Guayaquil,México,5,08:00,13:00,Boeing 787,240.75
AV6900,Guayaquil,México,6,10:00,16:00,Boeing 777,270.90
AV8408,Guayaquil,México,7,12:00,19:00,Airbus A330,300.60
AV9173,Quito,México,4,05:00,09:00,Boeing 787,210.90
AV9841,Quito,México,5,07:00,12:00,Airbus A321,240.75
AV9047,Quito,México,6,09:00,15:00,Boeing 737,270.80
AV9523,Quito,México,7,11:00,18:00,Airbus A330,300.00
AV1755,Quito,México,8,13:00,21:00,Boeing 777,330.50
AV7951,Cuenca,México,5,06:00,11:00,Airbus A320,240.20
AV3536,Cuenca,México,6,08:00,14:00,Boeing 737,270.60
AV5684,Cuenca,México,7,10:00,17:00,Boeing 787,300.40
AV9540,Cuenca,México,8,12:00,20:00,Airbus A330,330.20
AV3608,Cuenca,México,9,14:00,23:00,Boeing 777,360.30
AV8136,Guayaquil,Lima,2,07:00,09:00,Airbus A319,160.40
AV5750,Guayaquil,Lima,3,09:00,12:00,Airbus A320,190.50
AV0684,Guayaquil,Lima,4,11:00,15:00,Boeing 787,220.75
AV9722,Guayaquil,Lima,5,13:00,18:00,Boeing 777,250.90
AV0300,Guayaquil,Lima,6,15:00,21:00,Airbus A330,280.60
AV2634,Quito,Lima,3,08:00,11:00,Boeing 787,190.90
AV4210,Quito,Lima,4,10:00,14:00,Airbus A321,220.75
AV2666,Quito,Lima,5,12:00,17:00,Boeing 737,250.80
AV5487,Quito,Lima,6,14:00,20:00,Airbus A330,280.00
AV5218,Quito,Lima,7,16:00,23:00,Boeing 777,310.50
AV1593,Cuenca,Lima,4,09:00,13:00,Airbus A320,220.20
AV9752,Cuenca,Lima,5,11:00,16:00,Boeing 737,250.60
AV7798,Cuenca,Lima,6,13:00,19:00,Boeing 787,280.40
AV3693,Cuenca,Lima,7,15:00,22:00,Airbus A330,310.20
AV4577,Cuenca,Lima,8,17:00,00:00,Boeing 777,340.30
AV8419,Guayaquil,Guadalajara,7,08:00,15:00,Airbus A319,320.40
AV8651,Guayaquil,Guadalajara,8,10:00,18:00,Airbus A320,350.50
AV9907,Guayaquil,Guadalajara,9,12:00,21:00,Boeing 787,380.75
